"Q1_star_avg","EIF_std","num_pp","Q1_star_lb","Q1_star_ub","patient_profiles","htn_med_class"
0.38803952122094,0.0232832529663709,1181,0.342404345406853,0.433674697035027,"(65,150]_[0,150]_[0,90]_(30,100]_[0,200]_(0.95,5]","acei"
0.381380128673215,0.0176541401501158,1646,0.346778013978988,0.415982243367441,"[0,65]_[0,150]_[0,90]_(30,100]_[0,200]_[0,0.95]","acei"
0.177681529571144,0.0220648363301133,809,0.134434450364122,0.220928608778166,"[0,65]_(150,300]_(90,200]_(30,100]_[0,200]_[0,0.95]","acei"
0.418539281004315,0.0199065649897184,1251,0.379522413624467,0.457556148384163,"(65,150]_[0,150]_[0,90]_[0,30]_[0,200]_(0.95,5]","acei"
0.167123667238505,0.025741258155055,604,0.116670801254597,0.217576533222413,"[0,65]_(150,300]_(90,200]_(30,100]_[0,200]_(0.95,5]","acei"
0.386028324790705,0.0235413422194463,967,0.339887294040591,0.43216935554082,"[0,65]_[0,150]_[0,90]_(30,100]_[0,200]_(0.95,5]","acei"
0.212644755186861,0.0270602558463014,660,0.15960665372811,0.265682856645611,"[0,65]_(150,300]_(90,200]_[0,30]_(200,300]_[0,0.95]","acei"
0.221497266377609,0.0326900882508577,455,0.157424693405928,0.28556983934929,"[0,65]_(150,300]_(90,200]_[0,30]_[0,200]_[0,0.95]","acei"
0.32510281258377,0.0219641566464403,700,0.282053065556747,0.368152559610793,"(65,150]_[0,150]_[0,90]_(30,100]_(200,300]_[0,0.95]","acei"
0.35956524991078,0.0149415996246637,1403,0.330279714646439,0.388850785175121,"(65,150]_[0,150]_[0,90]_(30,100]_[0,200]_[0,0.95]","acei"
0.183964232543757,0.0295342989599036,395,0.126077006582346,0.241851458505168,"(65,150]_(150,300]_(90,200]_[0,30]_(200,300]_[0,0.95]","acei"
0.312469015874011,0.0279431367552701,507,0.257700467833681,0.36723756391434,"[0,65]_[0,150]_[0,90]_(30,100]_(200,300]_(0.95,5]","acei"
0.165672221771537,0.0194331417540441,882,0.12758326393361,0.203761179609463,"[0,65]_(150,300]_(90,200]_(30,100]_(200,300]_[0,0.95]","acei"
0.351697411683154,0.0394549449896396,272,0.27436571950346,0.429029103862847,"[0,65]_[0,150]_(90,200]_[0,30]_(200,300]_(0.95,5]","acei"
0.23305454057021,0.0385821364421545,206,0.157433553143587,0.308675527996833,"(65,150]_(150,300]_(90,200]_(30,100]_[0,200]_(0.95,5]","acei"
0.101037874889784,0.0175049667366878,553,0.0667281400858763,0.135347609693692,"[0,65]_(150,300]_(90,200]_(30,100]_(200,300]_(0.95,5]","acei"
0.297427432492183,0.0346488011128733,605,0.229515782310951,0.365339082673415,"[0,65]_[0,150]_(90,200]_(30,100]_(200,300]_[0,0.95]","acei"
0.139737122130892,0.039001815142181,220,0.0632935644522177,0.216180679809567,"(65,150]_(150,300]_(90,200]_[0,30]_(200,300]_(0.95,5]","acei"
0.415950643693564,0.0295261656615466,603,0.358079358996933,0.473821928390195,"[0,65]_[0,150]_[0,90]_[0,30]_[0,200]_(0.95,5]","acei"
0.356595737437036,0.0332658033495008,553,0.291394762872015,0.421796712002058,"(65,150]_[0,150]_[0,90]_[0,30]_(200,300]_(0.95,5]","acei"
0.383443706250434,0.02991831591337,882,0.324803807060228,0.442083605440639,"[0,65]_[0,150]_[0,90]_(30,100]_(200,300]_[0,0.95]","acei"
0.261923999362193,0.0493663068855556,122,0.165166037866505,0.358681960857882,"[0,65]_(150,300]_[0,90]_(30,100]_(200,300]_(0.95,5]","acei"
0.404664366182576,0.0302200096738709,892,0.345433147221789,0.463895585143363,"[0,65]_[0,150]_[0,90]_[0,30]_[0,200]_[0,0.95]","acei"
0.232132246667756,0.0291507472420851,381,0.174996782073269,0.289267711262243,"(65,150]_(150,300]_[0,90]_(30,100]_[0,200]_(0.95,5]","acei"
0.314446389020486,0.0348551982789248,419,0.246130200393793,0.382762577647179,"[0,65]_[0,150]_(90,200]_[0,30]_(200,300]_[0,0.95]","acei"
0.466785129077172,0.0349450512878162,441,0.398292828553052,0.535277429601292,"[0,65]_[0,150]_[0,90]_[0,30]_(200,300]_(0.95,5]","acei"
0.424335510581707,0.0272493634251122,1418,0.370926758268487,0.477744262894927,"(65,150]_[0,150]_[0,90]_[0,30]_[0,200]_[0,0.95]","acei"
0.200044074853824,0.0536540952262575,116,0.0948820482103599,0.305206101497289,"(65,150]_[0,150]_(90,200]_(30,100]_[0,200]_(0.95,5]","acei"
0.204176611110951,0.0262188088870699,366,0.152787745692294,0.255565476529608,"[0,65]_(150,300]_(90,200]_[0,30]_[0,200]_(0.95,5]","acei"
0.427162247994571,0.026173572649869,975,0.375862045600828,0.478462450388314,"(65,150]_[0,150]_[0,90]_[0,30]_(200,300]_[0,0.95]","acei"
0.172368931858845,0.0412166267810348,153,0.0915843433680164,0.253153520349673,"(65,150]_(150,300]_[0,90]_(30,100]_(200,300]_(0.95,5]","acei"
0.327951808743094,0.0244397571918484,476,0.280049884647071,0.375853732839117,"(65,150]_(150,300]_[0,90]_(30,100]_[0,200]_[0,0.95]","acei"
0.312075409689932,0.0373640219109217,386,0.238841926744525,0.385308892635338,"[0,65]_[0,150]_(90,200]_[0,30]_[0,200]_[0,0.95]","acei"
0.184787418085535,0.0250172919995235,377,0.135753525766469,0.233821310404601,"[0,65]_(150,300]_(90,200]_[0,30]_(200,300]_(0.95,5]","acei"
0.214476330014337,0.0322133474003301,280,0.15133816910969,0.277614490918984,"(65,150]_(150,300]_(90,200]_[0,30]_[0,200]_[0,0.95]","acei"
