"Q1_star_avg","EIF_std","num_pp","Q1_star_lb","Q1_star_ub","patient_profiles","htn_med_class"
0.252933153461806,0.0290895405616312,752,0.195917653961009,0.309948652962604,"[0,65]_[0,150]_(90,200]_(30,100]_[0,200]_[0,0.95]","acei"
0.248377086443089,0.0473542814176416,212,0.155562694864512,0.341191478021666,"(65,150]_(150,300]_(90,200]_[0,30]_[0,200]_(0.95,5]","acei"
0.242248353907152,0.0200538070055805,668,0.202942892176214,0.281553815638089,"(65,150]_(150,300]_[0,90]_[0,30]_[0,200]_[0,0.95]","acei"
0.104740148028717,0.0306989983250068,185,0.0445701113117035,0.16491018474573,"(65,150]_(150,300]_(90,200]_(30,100]_(200,300]_(0.95,5]","acei"
0.269755033307744,0.0300883909685677,534,0.210781787009351,0.328728279606136,"[0,65]_[0,150]_(90,200]_(30,100]_[0,200]_(0.95,5]","acei"
0.198799448323253,0.0539674602731301,126,0.0930232261879178,0.304575670458588,"[0,65]_(150,300]_[0,90]_[0,30]_(200,300]_(0.95,5]","acei"
0.264816807513254,0.0403411885829124,396,0.185748077890746,0.343885537135763,"[0,65]_[0,150]_(90,200]_(30,100]_(200,300]_(0.95,5]","acei"
0.277553166019058,0.0428061056784446,252,0.193653198889306,0.361453133148809,"[0,65]_(150,300]_[0,90]_[0,30]_(200,300]_[0,0.95]","acei"
0.364026107023801,0.0223238233979443,708,0.32027141316383,0.407780800883772,"[0,65]_[0,150]_[0,90]_[0,30]_(200,300]_[0,0.95]","acei"
0.207436785569486,0.0334504436409335,345,0.141873916033257,0.272999655105716,"[0,65]_(150,300]_[0,90]_(30,100]_[0,200]_[0,0.95]","acei"
0.274195288816865,0.0229056369774634,436,0.229300240341037,0.319090337292694,"(65,150]_[0,150]_[0,90]_(30,100]_(200,300]_(0.95,5]","acei"
0.398617545403326,0.0548722031740833,227,0.291068027182122,0.506167063624529,"[0,65]_(150,300]_[0,90]_[0,30]_[0,200]_[0,0.95]","acei"
0.204852934136231,0.0310677824214986,287,0.143960080590093,0.265745787682368,"(65,150]_(150,300]_(90,200]_(30,100]_[0,200]_[0,0.95]","acei"
0.188898878595725,0.0476959508500217,283,0.095414814929682,0.282382942261767,"[0,65]_(150,300]_[0,90]_(30,100]_(200,300]_[0,0.95]","acei"
0.23114487168467,0.0473707138999156,302,0.138298272440835,0.323991470928504,"(65,150]_(150,300]_[0,90]_(30,100]_(200,300]_[0,0.95]","acei"
0.200611973411661,0.0265538841375124,526,0.148566360502136,0.252657586321185,"(65,150]_(150,300]_[0,90]_[0,30]_[0,200]_(0.95,5]","acei"
0.164941106685724,0.0267659251952363,315,0.112479893303061,0.217402320068387,"(65,150]_(150,300]_(90,200]_(30,100]_(200,300]_[0,0.95]","acei"
0.270587884974956,0.054820637061066,123,0.163139436335267,0.378036333614646,"(65,150]_[0,150]_(90,200]_(30,100]_[0,200]_[0,0.95]","acei"
0.500762289426252,0.0621371155775072,78,0.378973542894338,0.622551035958166,"(65,150]_[0,150]_(90,200]_(30,100]_(200,300]_(0.95,5]","acei"
0.182888996164363,0.0519607131784327,108,0.0810459983346353,0.284731993994091,"(65,150]_[0,150]_(90,200]_(30,100]_(200,300]_[0,0.95]","acei"
0.375842712827866,0.0348539129919601,325,0.307529043363625,0.444156382292108,"[0,65]_[0,150]_(90,200]_[0,30]_[0,200]_(0.95,5]","acei"
0.214873271010494,0.0266244635687111,337,0.16268932241582,0.267057219605168,"(65,150]_(150,300]_[0,90]_[0,30]_(200,300]_(0.95,5]","acei"
0.373381869877012,0.0613926457154361,98,0.253052284274758,0.493711455479267,"(65,150]_[0,150]_(90,200]_[0,30]_[0,200]_(0.95,5]","acei"
0.254078434282556,0.0290800875437907,586,0.197081462696726,0.311075405868386,"(65,150]_(150,300]_[0,90]_[0,30]_(200,300]_[0,0.95]","acei"
0.237314113482848,0.0488281711212629,149,0.141610898085173,0.333017328880523,"[0,65]_(150,300]_[0,90]_[0,30]_[0,200]_(0.95,5]","acei"
0.220551551188728,0.0593545313936638,209,0.104216669657147,0.336886432720309,"[0,65]_(150,300]_[0,90]_(30,100]_[0,200]_(0.95,5]","acei"
0.323294942580994,0.0538666452994329,124,0.217716317794106,0.428873567367883,"(65,150]_[0,150]_(90,200]_[0,30]_[0,200]_[0,0.95]","acei"
0.278394418365185,0.0581618595048682,130,0.164397173735643,0.392391662994727,"(65,150]_[0,150]_(90,200]_[0,30]_(200,300]_[0,0.95]","acei"
0.386076853870126,0.0762987791337311,76,0.236531246768013,0.535622460972239,"(65,150]_[0,150]_(90,200]_[0,30]_(200,300]_(0.95,5]","acei"
0.357053064167186,0.019436163450627,1181,0.318958183803957,0.395147944530415,"(65,150]_[0,150]_[0,90]_(30,100]_[0,200]_(0.95,5]","arb"
0.354465334424872,0.0240951051185765,1646,0.307238928392463,0.401691740457282,"[0,65]_[0,150]_[0,90]_(30,100]_[0,200]_[0,0.95]","arb"
0.0904970869358364,0.0181532482070569,809,0.0549167204500049,0.126077453421668,"[0,65]_(150,300]_(90,200]_(30,100]_[0,200]_[0,0.95]","arb"
0.380033871673502,0.0191896482942425,1251,0.342422161016786,0.417645582330217,"(65,150]_[0,150]_[0,90]_[0,30]_[0,200]_(0.95,5]","arb"
0.121421852746598,0.0187402145668012,604,0.0846910321956675,0.158152673297528,"[0,65]_(150,300]_(90,200]_(30,100]_[0,200]_(0.95,5]","arb"
